event_time,event_count,sum_bytes,num_match_event
1998-06-19 22:00:00,18335,73874098,0
1998-06-19 22:01:00,19017,63864301,0
1998-06-19 22:02:00,19671,71386925,0
1998-06-19 22:03:00,19562,73959523,0
1998-06-19 22:04:00,19824,75128092,0
1998-06-19 22:05:00,18211,65114086,0
1998-06-19 22:06:00,19370,64941916,0
1998-06-19 22:07:00,19151,75963652,0
1998-06-19 22:08:00,19446,74933528,0
1998-06-19 22:09:00,17387,70552559,0
1998-06-19 22:10:00,17152,66158273,0
1998-06-19 22:11:00,17536,81991622,0
1998-06-19 22:12:00,18217,72732632,0
1998-06-19 22:13:00,18601,77792609,0
1998-06-19 22:14:00,17639,74168472,0
1998-06-19 22:15:00,17674,64687144,0
1998-06-19 22:16:00,17832,69549788,0
1998-06-19 22:17:00,17797,68454155,0
1998-06-19 22:18:00,16798,68191726,0
1998-06-19 22:19:00,18842,71807184,0
1998-06-19 22:20:00,17321,70271944,0
1998-06-19 22:21:00,17231,70693554,0
1998-06-19 22:22:00,18202,82977868,0
1998-06-19 22:23:00,16617,81990422,0
1998-06-19 22:24:00,15528,71113761,0
1998-06-19 22:25:00,15854,64304800,0
1998-06-19 22:26:00,16345,65024804,0
1998-06-19 22:27:00,16730,62645330,0
1998-06-19 22:28:00,15843,59855181,0
1998-06-19 22:29:00,15712,61463679,0
1998-06-19 22:30:00,16632,62324943,0
1998-06-19 22:31:00,16108,60635570,0
1998-06-19 22:32:00,15942,66589805,0
1998-06-19 22:33:00,15321,59410579,0
1998-06-19 22:34:00,15448,56322666,0
1998-06-19 22:35:00,15643,75048569,0
1998-06-19 22:36:00,16503,74223507,0
1998-06-19 22:37:00,15485,76951129,0
1998-06-19 22:38:00,15748,58527137,0
1998-06-19 22:39:00,16694,63097540,0
1998-06-19 22:40:00,15956,64625391,0
1998-06-19 22:41:00,16208,69733513,0
1998-06-19 22:42:00,16128,70363020,0
1998-06-19 22:43:00,15924,62250070,0
1998-06-19 22:44:00,16130,67399844,0
1998-06-19 22:45:00,15870,70089008,0
1998-06-19 22:46:00,15647,59196419,0
1998-06-19 22:47:00,15221,56345397,0
1998-06-19 22:48:00,13919,64084031,0
1998-06-19 22:49:00,15397,70626800,0
1998-06-19 22:50:00,15332,63903884,0
1998-06-19 22:51:00,14693,67691110,0
1998-06-19 22:52:00,14074,59554827,0
1998-06-19 22:53:00,14237,60604391,0
1998-06-19 22:54:00,14861,68996847,0
1998-06-19 22:55:00,14642,57401077,0
1998-06-19 22:56:00,13639,57505599,0
1998-06-19 22:57:00,14993,62733594,0
1998-06-19 22:58:00,16094,55394789,0
1998-06-19 22:59:00,15962,60188533,0
1998-06-19 23:00:00,16076,65641747,0
1998-06-19 23:01:00,15906,57596785,0
1998-06-19 23:02:00,15583,59148258,0
1998-06-19 23:03:00,14103,56590014,0
1998-06-19 23:04:00,14564,70385443,0
1998-06-19 23:05:00,14725,62840644,0
1998-06-19 23:06:00,14458,60423834,0
1998-06-19 23:07:00,13866,62725618,0
1998-06-19 23:08:00,14263,58186124,0
1998-06-19 23:09:00,15031,56137940,0
1998-06-19 23:10:00,15591,55260050,0
1998-06-19 23:11:00,15138,57416518,0
1998-06-19 23:12:00,15056,63213472,0
1998-06-19 23:13:00,13994,56838032,0
1998-06-19 23:14:00,14732,57754484,0
1998-06-19 23:15:00,14717,53052289,0
1998-06-19 23:16:00,14245,53464155,0
1998-06-19 23:17:00,13892,57010689,0
1998-06-19 23:18:00,14695,52161966,0
1998-06-19 23:19:00,14268,58419669,0
1998-06-19 23:20:00,13883,57614118,0
1998-06-19 23:21:00,14394,55428875,0
1998-06-19 23:22:00,12870,64857795,0
1998-06-19 23:23:00,14066,58316032,0
1998-06-19 23:24:00,13961,58180784,0
1998-06-19 23:25:00,14496,68215374,0
1998-06-19 23:26:00,13368,48969693,0
1998-06-19 23:27:00,13959,54402431,0
